datum;wahl;ags;gebiet-nr_x;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;SPD 1;SPD 2;CDU 1;CDU 2;Grüne 1;Grüne 2;FDP 1;FDP 2;AfD 1;AfD 2;Die Linke 1;Die Linke 2;FW 1;FW 2;Tier 1;Tier 2;PARTEI 1;PARTEI 2;Volt 1;Volt 2;Hum 1;Hum 2;MLPD 1;MLPD 2;BD 1;BD 2;BSW 1;BSW 2;EMRE;F15;SPD 1%;SPD 2%;CDU 1%;CDU 2%;Grüne 1%;Grüne 2%;FDP 1%;FDP 2%;AfD 1%;AfD 2%;Die Linke 1%;Die Linke 2%;FW 1%;FW 2%;Tier 1%;Tier 2%;PARTEI 1%;PARTEI 2%;Volt 1%;Volt 2%;Hum 1%;Hum 2%;MLPD 1%;MLPD 2%;BD 1%;BD 2%;BSW 1%;BSW 2%;gebiet-nr_y;wk_name
23.02.2025;Bundestagswahl;6412000;91801;918-01;1;1;0;0;0;0;375;375;4;371;4;371;90;79;140;132;59;61;14;20;28;24;24;32;8;6;;3;1;1;5;3;;0;1;0;1.0;1;;9;0.0;;24.26;21.29;37.74;35.58;15.9;16.44;3.77;5.39;7.55;6.47;6.47;8.63;2.16;1.62;;0.81;0.27;0.27;1.35;0.81;;0.0;0.27;0.0;0.27;0.27;;2.43;91801;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91802;918-02;1;1;0;0;0;0;453;453;3;450;1;452;108;102;141;133;73;63;17;19;61;59;29;34;5;4;;3;7;5;7;6;;1;0;0;1.0;2;;21;1.0;;24.0;22.57;31.33;29.42;16.22;13.94;3.78;4.2;13.56;13.05;6.44;7.52;1.11;0.88;;0.66;1.56;1.11;1.56;1.33;;0.22;0.0;0.0;0.22;0.44;;4.65;91802;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91803;918-03;1;1;0;0;0;0;547;547;8;539;6;541;123;108;147;141;82;75;19;19;86;84;39;44;14;7;;10;7;4;11;10;;1;0;0;6.0;0;;38;5.0;;22.82;19.96;27.27;26.06;15.21;13.86;3.53;3.51;15.96;15.53;7.24;8.13;2.6;1.29;;1.85;1.3;0.74;2.04;1.85;;0.18;0.0;0.0;1.11;0.0;;7.02;91803;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91804;918-04;1;1;0;0;0;0;237;237;0;237;2;235;59;50;75;71;34;32;5;6;29;33;11;16;2;1;;8;7;4;11;6;;0;0;0;1.0;0;;8;3.0;;24.89;21.28;31.65;30.21;14.35;13.62;2.11;2.55;12.24;14.04;4.64;6.81;0.84;0.43;;3.4;2.95;1.7;4.64;2.55;;0.0;0.0;0.0;0.42;0.0;;3.4;91804;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91805;918-05;1;1;0;0;0;0;696;696;3;693;4;692;99;102;233;222;159;126;41;39;60;58;51;65;14;13;;12;10;10;21;16;;0;2;0;2.0;1;;28;1.0;;14.29;14.74;33.62;32.08;22.94;18.21;5.92;5.64;8.66;8.38;7.36;9.39;2.02;1.88;;1.73;1.44;1.45;3.03;2.31;;0.0;0.29;0.0;0.29;0.14;;4.05;91805;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91806;918-06;1;1;0;0;0;0;584;584;5;579;3;581;121;107;204;185;129;111;12;27;54;58;42;54;4;4;;3;1;1;9;7;;0;0;0;1.0;0;;24;2.0;;20.9;18.42;35.23;31.84;22.28;19.1;2.07;4.65;9.33;9.98;7.25;9.29;0.69;0.69;;0.52;0.17;0.17;1.55;1.2;;0.0;0.0;0.0;0.17;0.0;;4.13;91806;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91807;918-07;1;1;0;0;0;0;203;203;3;200;3;200;47;42;73;66;19;12;1;0;31;33;19;25;3;1;;2;0;2;5;5;;0;0;0;0.0;0;;12;2.0;;23.5;21.0;36.5;33.0;9.5;6.0;0.5;0.0;15.5;16.5;9.5;12.5;1.5;0.5;;1.0;0.0;1.0;2.5;2.5;;0.0;0.0;0.0;0.0;0.0;;6.0;91807;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91901;919-01;1;1;0;0;0;0;464;464;0;464;1;463;122;79;117;110;76;87;24;30;48;46;45;61;8;2;;8;7;2;16;15;;1;1;0;;1;;21;;;26.29;17.06;25.22;23.76;16.38;18.79;5.17;6.48;10.34;9.94;9.7;13.17;1.72;0.43;;1.73;1.51;0.43;3.45;3.24;;0.22;0.22;0.0;;0.22;;4.54;91901;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91902;919-02;1;1;0;0;0;0;356;356;5;351;1;355;89;69;97;87;44;62;8;8;32;29;62;54;5;2;;8;4;2;9;7;;2;1;1;;0;;24;;;25.36;19.44;27.64;24.51;12.54;17.46;2.28;2.25;9.12;8.17;17.66;15.21;1.42;0.56;;2.25;1.14;0.56;2.56;1.97;;0.56;0.28;0.28;;0.0;;6.76;91902;Messe Frankfurt GmbH Briefwahlauszählung
23.02.2025;Bundestagswahl;6412000;91903;919-03;1;1;0;0;0;0;595;595;10;585;3;592;150;80;139;134;86;113;26;39;53;50;91;109;12;8;;7;12;3;16;20;;0;0;0;;0;;29;;;25.64;13.51;23.76;22.64;14.7;19.09;4.44;6.59;9.06;8.45;15.56;18.41;2.05;1.35;;1.18;2.05;0.51;2.74;3.38;;0.0;0.0;0.0;;0.0;;4.9;91903;Messe Frankfurt GmbH Briefwahlauszählung
